mashable	3.2363333807591936	0.5336363636363636
BBCRBlack	1.1569221292864824	0.002727272727272727
MarketingProfs	0.3422871246567117	0.020000000000000004
ladygaga	2.506186938520714	0.5281818181818182
sinanaral	0.32916336905563265	1.21759695295643E-4
#testing	0.0	0.0
jowyang	0.9404446917980348	0.052727272727272734
BarackObama	1.946177220195947	2.621683315033472E-5
nicola_barbieri	0.3424226808222063	0.0032615786040443573
levie	2.4315788194301526	0.7045454545454546
RevRunWisdom	6.641648685590758	0.7036363636363635
ValaAfshar	2.0288383296898718	0.16636363636363638
FrancescoBonchi	0.33321467903538243	6.220065932698885E-4
katyperry	5.577865248810489	0.6090909090909091
kourtellis	-0.07323191353442361	0.003472222222222222
jaybaer	0.7300081052432218	0.034545454545454546
